"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C3","33n","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C2,C4","100p","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C5","2.2n","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C6","47n","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C7,C8,C9,C10","82n","~","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","4",""
"C11","10u","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C12,C13,C14,C15,C16","dc","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","5",""
"D1","LED","~","LED_THT:LED_D3.0mm","1",""
"D2","BZX84C4V3-G3-08","~","Package_TO_SOT_SMD:TSOT-23_HandSoldering","1",""
"J1","Aux Input","~","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical","1",""
"J2","Main Input","~","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical","1",""
"J3","Out","~","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical","1",""
"J4","Power Input","~","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical","1",""
"Q1","DMP2305U-7","~","Package_TO_SOT_SMD:TSOT-23_HandSoldering","1",""
"R1,R3,R5","1k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3",""
"R2,R4","10M","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R6,R8,R11","22k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3",""
"R7,R9,R25","10k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3",""
"R10,R12,R13,R14","3.3k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4",""
"R15,R16","120k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R17,R18","20k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R19,R21,R22,R23,R24","130k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","5",""
"R20","51","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"RV1","10k Linear ""Gain""","~","FJD_HPF:Potentiometer_Alpha_RV120F","1",""
"RV2","100k Linear ""Bass""","~","FJD_HPF:Potentiometer_Alpha_RV120F","1",""
"RV3","100k Linear ""Treble""","~","FJD_HPF:Potentiometer_Alpha_RV120F","1",""
"RV4","100k Audio ""HPF""","~","FJD_HPF:Potentiometer_Alpha_RV122F","1",""
"U1,U2","OPA1654","http://www.ti.com/lit/ds/symlink/tlc274.pdf","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","2",""
